,source,bit_rate
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,0,0.0
23,1,0.0
24,2,0.0
25,3,0.0
26,4,0.0
27,5,0.0
28,6,0.0
29,7,0.0
30,8,0.0
31,9,0.0
32,10,0.0
33,11,0.0
34,12,0.0
35,13,0.0
36,14,0.0
37,15,0.0
38,16,0.0
39,17,0.0
40,18,0.0
41,19,0.0
42,20,0.0
43,21,0.0
44,0,624.2483310000001
45,1,701.3850870000001
46,2,7723.848639
47,3,588.791084
48,4,11277.728707
49,5,801.742042
50,6,1104.674558
51,7,4977.823063
52,8,4786.642488
53,9,6619.489082
54,10,96.598625
55,11,371.019586
56,12,4782.321282000001
57,13,125.721646
58,14,4544.2977009999995
59,15,2795.4010130000006
60,16,531.2950050000001
61,17,1772.8987240000001
62,18,3966.450343
63,19,5391.613105
64,20,98.222923
65,21,4281.6726
66,0,570.3156250000001
67,1,608.127386
68,2,6860.103972
69,3,585.091349
70,4,9637.922591999999
71,5,735.008687
72,6,761.1421690000002
73,7,4543.212268
74,8,4322.590518
75,9,5656.159179
76,10,63.278901000000005
77,11,354.427705
78,12,4026.536326000001
79,13,110.44073999999999
80,14,4338.405618
81,15,2843.70525
82,16,454.47662800000006
83,17,1526.329447
84,18,3617.560743
85,19,5003.522102
86,20,138.18586599999998
87,21,3957.400372
88,0,504.72106499999995
89,1,703.3322649999999
90,2,6827.3977300000015
91,3,625.369412
92,4,9987.568616
93,5,760.719536
94,6,921.3980179999999
95,7,4417.340371
96,8,4368.365807
97,9,5865.888537
98,10,70.68658400000001
99,11,320.50833100000006
100,12,4268.574256000001
101,13,109.00094
102,14,4105.012119
103,15,3318.1031500000004
104,16,463.4761040000001
105,17,1562.939883
106,18,3541.634923
107,19,5084.055342
108,20,145.07864
109,21,4095.5207299999997
110,0,503.95997400000005
111,1,534.009406
112,2,7272.552563000001
113,3,706.256965
114,4,9666.405192
115,5,808.8552450000001
116,6,900.6751690000001
117,7,4583.079564000001
118,8,4495.455895000001
119,9,5581.881276
120,10,85.05204100000003
121,11,305.882523
122,12,4377.720778
123,13,111.617941
124,14,4048.2196050000007
125,15,3173.7699679999996
126,16,440.321363
127,17,1537.636319
128,18,3437.363091
129,19,5077.063715
130,20,157.995242
131,21,4176.743929
132,0,434.3460569999999
133,1,441.47820800000005
134,2,6596.263827
135,3,628.210215
136,4,9603.259724000001
137,5,643.407504
138,6,968.027237
139,7,4785.675309
140,8,4396.451693
141,9,5700.575919000001
142,10,48.442057
143,11,281.744182
144,12,3801.949147
145,13,115.148647
146,14,4292.208933
147,15,3062.735034
148,16,414.26834599999995
149,17,1556.080512
150,18,3599.91363
151,19,5163.891599
152,20,107.02660300000001
153,21,3830.802925
154,0,486.834744
155,1,598.203355
156,2,6248.853725999999
157,3,613.452265
158,4,9324.619962
159,5,793.995402
160,6,961.7272010000002
161,7,4764.998455000001
162,8,4393.9641919999995
163,9,5505.209491
164,10,60.91836799999999
165,11,292.371721
166,12,3772.563863000001
167,13,108.20560300000001
168,14,4306.3641959999995
169,15,2824.582568
170,16,443.30521699999997
171,17,1480.4197660000002
172,18,3213.141192
173,19,5090.491013000001
174,20,130.35942999999997
175,21,4106.988813999999
176,0,438.1891269999999
177,1,469.899346
178,2,6092.571680999999
179,3,562.355921
180,4,9003.406656999998
181,5,768.464998
182,6,905.431434
183,7,4882.29536
184,8,4386.3493530000005
185,9,5237.002931999999
186,10,101.490523
187,11,253.20979200000005
188,12,3752.6521489999996
189,13,104.628452
190,14,3847.9620660000005
191,15,2367.899761
192,16,481.96224700000005
193,17,1498.936217
194,18,3098.892747999999
195,19,5178.723156
196,20,174.64824500000003
197,21,4028.839893
198,0,491.94054100000005
199,1,460.32884
200,2,6308.378066
201,3,600.480496
202,4,8980.677249
203,5,725.5396230000001
204,6,1080.0261460000002
205,7,5036.51799
206,8,4362.813586
207,9,5275.112660000001
208,10,85.76190699999998
209,11,239.77698800000002
210,12,3547.1596479999994
211,13,101.14734200000001
212,14,3938.860474000001
213,15,2073.4378129999996
214,16,492.204323
215,17,1497.90623
216,18,3167.7846019999997
217,19,5335.544178
218,20,150.542295
219,21,3614.078678
220,0,448.41416600000014
221,1,401.628625
222,2,6145.813133
223,3,586.1701479999999
224,4,8296.098675
225,5,625.2932719999999
226,6,759.428632
227,7,4698.4644929999995
228,8,4127.420109000001
229,9,4986.531995
230,10,72.42362700000001
231,11,215.778212
232,12,3569.1347119999996
233,13,106.257698
234,14,3843.668021
235,15,2193.754841
236,16,599.1460720000001
237,17,1468.512006
238,18,2983.2431380000003
239,19,4995.527591
240,20,134.39497899999998
241,21,3422.160347
242,0,447.05387399999984
243,1,476.2527490000001
244,2,6255.073129
245,3,520.0204690000002
246,4,8458.600291
247,5,615.4398689999999
248,6,948.0881340000001
249,7,4633.00078
250,8,4309.186333
251,9,5738.498458
252,10,36.05891899999999
253,11,229.986111
254,12,3421.4507660000004
255,13,105.889382
256,14,4069.0197770000004
257,15,2784.2195939999992
258,16,520.5127729999999
259,17,1549.30082
260,18,3171.6389719999997
261,19,5118.743964
262,20,168.00817600000002
263,21,3715.474956
264,0,375.21702300000004
265,1,560.0942440000001
266,2,6380.319619
267,3,471.447785
268,4,8588.666251
269,5,617.3250219999999
270,6,790.6237729999999
271,7,4727.287797
272,8,4370.902681
273,9,5179.735152
274,10,51.403085000000004
275,11,246.991627
276,12,3311.4451999999997
277,13,88.35006499999999
278,14,4722.972893
279,15,2548.595397
280,16,480.7016539999999
281,17,1560.32333
282,18,3170.15143
283,19,5190.112295
284,20,136.62792499999995
285,21,3418.156852
286,0,429.92689900000005
287,1,416.75821
288,2,6452.929817
289,3,525.5955710000001
290,4,8436.344742000001
291,5,620.3540880000002
292,6,722.3577770000002
293,7,4532.497567
294,8,4231.271446
295,9,5516.2574159999995
296,10,53.66605500000002
297,11,233.643729
298,12,3296.96284
299,13,88.958988
300,14,5318.892188
301,15,2293.155193
302,16,425.8506940000001
303,17,1565.972549
304,18,3212.553629
305,19,5113.757487
306,20,152.684705
307,21,3792.9830119999997
308,0,410.47222999999997
309,1,384.58335500000004
310,2,5987.147499000001
311,3,468.38757000000004
312,4,8235.11592
313,5,613.68534
314,6,608.022797
315,7,4581.213976999999
316,8,4148.236306999999
317,9,5448.3837459999995
318,10,37.98220100000001
319,11,207.942048
320,12,3338.0513630000005
321,13,83.711881
322,14,4809.670148000001
323,15,1815.173445
324,16,502.16062999999997
325,17,1494.1148919999998
326,18,3228.934979999999
327,19,4992.196056
328,20,104.55299
329,21,3335.3103699999997
330,0,432.41794600000003
331,1,396.668244
332,2,5431.047475999999
333,3,425.00767599999995
334,4,7785.618686000001
335,5,559.847389
336,6,619.773783
337,7,4599.612509
338,8,4069.467208
339,9,5666.738754
340,10,24.964661
341,11,213.951823
342,12,3150.9561589999994
343,13,87.40245200000001
344,14,4335.263865
345,15,2089.905982
346,16,450.69586200000003
347,17,1507.0322270000001
348,18,3145.139484
349,19,4884.428717999999
350,20,132.77085200000002
351,21,3702.573425
352,0,388.661696
353,1,433.01804599999997
354,2,5550.632378
355,3,406.282721
356,4,8026.826982
357,5,544.681421
358,6,757.8572509999998
359,7,4609.833555
360,8,3980.4998400000004
361,9,5428.321327
362,10,29.419074999999996
363,11,254.621648
364,12,3090.095762
365,13,85.00250299999999
366,14,2913.539196
367,15,3396.4569220000003
368,16,472.503134
369,17,1526.38866
370,18,3075.075379
371,19,4891.349271
372,20,90.739778
373,21,3709.26506
374,0,435.6225629999999
375,1,436.73285400000003
376,2,5530.397498
377,3,521.385089
378,4,7826.307123
379,5,541.1350279999999
380,6,903.450517
381,7,4591.293039
382,8,3797.806699
383,9,5307.854384
384,10,23.385402
385,11,245.667382
386,12,3026.4757619999996
387,13,93.5893
388,14,2089.899289
389,15,4715.134363
390,16,463.633665
391,17,1512.268203
392,18,2970.7582219999995
393,19,4825.17159
394,20,89.27152400000001
395,21,3531.9725380000004
396,0,405.35850400000004
397,1,432.52590799999984
398,2,5458.595567999999
399,3,451.36732
400,4,7409.412662
401,5,546.001282
402,6,622.2588099999999
403,7,4615.915979
404,8,3706.1878580000002
405,9,5082.376895
406,10,38.878918000000006
407,11,213.00933100000003
408,12,2980.0128199999995
409,13,96.192807
410,14,2122.8497440000006
411,15,4589.030347999999
412,16,513.848694
413,17,1513.075233
414,18,2898.019424
415,19,4781.845398
416,20,164.774878
417,21,3357.633002
418,0,429.14556799999997
419,1,458.17445200000003
420,2,5300.650481999999
421,3,536.740103
422,4,7337.306803999999
423,5,548.9561219999999
424,6,622.1022620000001
425,7,4505.041189
426,8,3817.2280249999994
427,9,5358.278311
428,10,24.459533000000004
429,11,224.17652099999998
430,12,2798.421869
431,13,95.01172399999999
432,14,1467.2137409999998
433,15,4713.271762
434,16,514.101115
435,17,1455.1072609999999
436,18,3099.1127839999995
437,19,4666.029061
438,20,212.318585
439,21,3130.4824619999995
440,0,366.272034
441,1,437.187819
442,2,5160.98984
443,3,449.170026
444,4,7359.927292
445,5,533.0127030000001
446,6,571.856531
447,7,4524.395315
448,8,3862.3862289999997
449,9,5128.48243
450,10,21.284209000000004
451,11,234.01019000000002
452,12,2786.4347699999994
453,13,89.33934
454,14,1180.224136
455,15,4951.595112
456,16,435.956914
457,17,1489.498924
458,18,3085.807061
459,19,4750.19844
460,20,137.623611
461,21,2999.10761
462,0,425.21359299999995
463,1,411.491758
464,2,5275.845240000001
465,3,476.4841409999999
466,4,7336.497913
467,5,525.610195
468,6,537.659936
469,7,4583.500059
470,8,3746.3476689999998
471,9,5153.136353
472,10,21.167026000000003
473,11,245.31419200000002
474,12,2785.906476
475,13,94.174384
476,14,954.037967
477,15,4675.876168
478,16,477.096836
479,17,1440.1337740000001
480,18,3145.7207399999998
481,19,4804.977645
482,20,119.09096699999999
483,21,2832.992121
484,0,386.77845599999995
485,1,420.45440600000006
486,2,4984.1456530000005
487,3,368.366088
488,4,7044.761212000001
489,5,519.523551
490,6,588.899723
491,7,4589.499371
492,8,4220.469531000001
493,9,5333.610271
494,10,22.718839
495,11,227.73669199999998
496,12,2712.5111209999995
497,13,87.01074700000001
498,14,944.086606
499,15,4391.595056
500,16,478.9546610000001
501,17,1444.150934
502,18,3176.6047
503,19,4400.132594999999
504,20,103.771038
505,21,3007.083284
506,0,387.87547000000006
507,1,447.484943
508,2,4915.188460999999
509,3,375.441555
510,4,7319.717888000002
511,5,502.15152199999994
512,6,750.569791
513,7,4644.798724
514,8,4398.934642
515,9,5094.709593
516,10,33.929331
517,11,236.25763899999998
518,12,2774.2263409999996
519,13,94.29190600000001
